"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte utilisateur n'a pas été validé. <a href=""%s"">Cliquez ici</a> pour renvoyer un email de validation."
"Login and password are required","Login et mot de passe sont nécessaires"
"Coupon code ""%s"" was applied successfully.","Le code promo ""%s"" a été appliqué avec succès."
"Coupon code ""%s"" is not valid.","Le code promo ""%s"" n'est pas valide."
"Coupon code was canceled successfully.","Le code promo a été annulé avec succès."
"Please agree to all Terms and Conditions before placing the order.","S'il vous plait, acceptez tous les termes et conditions avant de passer commande."
"Billing address error","Erreur sur l'adresse de facturation"
"Shipping address error","Erreur su l'adresse de livraison"
"There was an error processing your order. Please contact us or try again later.","Il y a eu une erreur de traitement de votre commande. S'il vous plait, contactez-nous ou rééssayez plus tard."
"Please select a static block ...","S'il vous plait, sélectionnez un bloc statique ..."
"Invalid data.","Des données non valides."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address.","Il y a déjà un client enregistré utilisant cette adresse e-mail. S'il vous plait, connectez-vous en utilisant cette adresse e-mail ou entrez une adresse e-mail."
"Invalid shipping address.","Adresse de livraison invalide."
"Invalid email address ""%s""","Adresse e-mail invalide ""%s"""
"Billing Address","Adresse de facturation"
"First Name","Prénom"
"Email Address","E-mail"
"Last Name","Nom"
"Street line","Rue"
"Country","Pays"
"State/Province","Département"
"Please select region"," state or province","S'il vous plait, choisissez "," le département"
"Telephone","Téléphone"
"Zip/Postal Code","Code postal"
"Fax","Fax"
"City","Ville"
"Company","Société"
"Password","Mot de passe"
"Confirm Password","Confirmez votre mot de passe"
"Create Account","Créer un compte"
"Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Cancel","Annuler"
"loading please wait...","chargement, patientez s'il vous plait..."
"Login","Connectez-vous"
"Subscribe to newsletter","Abonnez-vous a la newsletter"
"Place Order","Passez la commande"
"Discount Codes","Codes de Réduction"
"Enter your coupon code if you have one.","Entrez votre code de réduction si vous en avez un."
"Apply Coupon","Appliquer le coupon"
"Cancel Coupon","Annuler le Coupon"
"Close","Fermer"
"Card Verification Number Visual Reference","Nombre vérification de la carte Visual Référence"
"Payment method","Mode de paiement"
"Order Review","Visualisation de la commande"
"Product Name","Nom du produit"
"Price","Prix"
"Qty","Qté"
"Subtotal","Sous-total"
"Shipping Address","Adresse de livraison"
"Shipping method","Mode de livraison"
"Same as Billing Address","Identique a l'adresse de facturation"
"Already registered? Click here to login.","Déjà inscrit? Cliquez ici pour vous connecter."
"Tax/VAT number","Numéro de TVA"
"Please select region"," state or province","S'il vous plait choisissez"," le département"
"Grand Total","Total"
"Ship to the same address","Expédier a la même adresse"