"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Этот аккаунт не подтвержден. <a href=""%s"">Нажмите здесь</a> чтобы переслать письмо с подтверждением."
"Login and password are required","Логин и пароль обязательны"
"Coupon code ""%s"" was applied successfully.","Купон ""%s"" успешно применен."
"Coupon code ""%s"" is not valid.","Купон ""%s"" не действительный."
"Coupon code was canceled successfully.","Купон отменен."
"Please agree to all Terms and Conditions before placing the order.","Пожалуйста, подтвердите согласие с всеми условиями перед размещением заказа."
"Billing address error","Ошибка в платёжном адресе"
"Shipping address error","Ошибка в адресе доставки"
"There was an error processing your order. Please contact us or try again later.","В результате обработки заказа произошла ошибка. Пожалуйста повторите заказ."
"Please select a static block ...","Выберете статический блок ..."
"Invalid data.","Неправильные данные."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address.","Клиент с такой электронной почтой уже зарегестрирован. Пожалуйста войдите в аккаунт с этой электронной почтой или введите другую электронную почту."
"Invalid shipping address.","Неверный адрес доставки."
"Invalid email address ""%s""","Неверная электронная почта ""%s"""
"Billing Address","Платёжный адрес"
"First Name","Имя"
"Last Name","Last Name"
"Email Address","Электронная почта"
"Street line","Адрес"
"Country","Страна"
"State/Province","Регион"
"Please select region"," state or province","Пожалуйста, укажите регион"," штат или провинцию"
"Telephone","Телефон"
"Zip/Postal Code","Индекс"
"Fax","Факс"
"City","Город"
"Company","Компания"
"Password","Пароль"
"Confirm Password","Подтвердить пароль"
"Create Account","Создать аккаунт"
"Forgot Your Password?","Забыли Пароль?"
"Cancel","Отменить"
"loading please wait...","пожалуйста подождите..."
"Login","Войти"
"Subscribe to newsletter","Подписаться на рассылку писем"
"Place Order","Разместить заказ"
"Discount Codes","Промо-код скидки"
"Enter your coupon code if you have one.","Введите купон если он есть"
"Apply Coupon","Применить Купон"
"Cancel Coupon","Отменить Купон"
"Close","Закрыть"
"Payment method","Способ оплаты"
"Order Review","Обзор Заказа"
"Product Name","Название"
"Price","Цена"
"Qty","Кол-во"
"Subtotal","Всего"
"Shipping Address","Адрес доставки"
"Shipping method","Метод доставки"
"Same as Billing Address","Такой же как платежный адрес"
"Already registered? Click here to login.","Зарегистрированы? Нажмите здесь, чтобы Войти"
"Tax/VAT number","Идентификационный номер"
"Grand Total","Общая сумма"